612

Ep. πῶλοι
132 34

133 99

134 89

135 28v-29
136 29-29*
137 30

138 35-37
139 37*

140 37*

141 37*

142 88

143 37*-38
144 sev—³⁹
145 39

146 15-15*
147 87

148 49*-50
149 88-88*
150 39*-47*
151 47*-49*
152 50-50*
153 50*

154 15v—160t

50*

155 51-51*
156 51*-52

157 52
158 52*
159 52v——53

160 84*
161 60*- 61*

162 60*

163 59-59*
164 53*

165 sav—su
166 54v—55
167 55-59

168 60*
169 61*
170 61*-62
171 62
172 62*
173 63--68*
174 63*
175 63*

mm mm

ει». σοι εοι.
176 sav-64
177 64-64*
178 16
179 64*
180 64ν-65
181 59*
182 69*
183 60
184 65

185 *εν-ἰε ’

186 65
187 65*
188 65*
189 ὅὸν-θθ
190 66*
191 66
192 66*
193 67
194 67
195 69
196 69*
197 67
198 78
199 69*
200 69*-70
201 70-70*
202 ‘Iov-71

203 71
204 80*
205 71*
206 71*-72
207 72
208 72-72*
209 72*
210 73*
211 'mv-74
212 74
213 74
214 'nv-‘15
215 75
216 75*
217 76
218 76
219 84*-·85
220 85

Ep. 00& (οι

221 85*-86
ἱ 223 ⁷8

224 80

225 80-80*

226 78-78*

227 67*

228 67*

229 67*
230 76* - 77

231 77-78

232 77

233 78*

234 79

235 79*

236 79*

237 79*-80

238 68

239 68-68*

240 68*

241 68*

242 69

243 81-81*

244 81*

245 81*

246 82

247 91

248 82

250 82*-88

251 83

252 83*

253 83*-84

254 84

255 84*

256 86

257 86-86*

258 86*

259 87*-88

260 88-88*

261 88*-89

262 89-89*

263 89*

264 89*-90

265 90

266 90-90*
Ι 267 ιι,

Bp. coctu
268 91*
269 99

270 92

271 92

272 92*
273 93

274 91

275 91*
276 92*
277 93

278 96-96*
279 osv
280 94*
282 94

283 94*
284 95

285 95-95*
286 osv-96
287 96*
288 96*
289 97

290 97-97*
291 97*
292 97*-·98
293 98

294 98-99
295 102*
296 94-94*
297 99*
298 99*-100
299 99*
300 100
301 100*
302 99

303 101
304 101
305 101-101*
306 101*
307 101*
308 102

ωθ 102
310 102*-109

311 109

312 103*
313 103* - 1⁰4

